pattern,alg
000110110100,"['r', 'b2', ""l'"", ""b'"", 'l', ""b'"", ""r'""]"
110110100000,"['f', 'r2', ""b'"", ""r'"", 'b', ""r'"", ""f'""]"
011000010100,"['r', 'u', ""r'"", ""f'"", ""u'"", 'f', 'u', 'r', 'u2', ""r'""]"
000010100011,"['f', 'u', ""f'"", ""l'"", ""u'"", 'l', 'u', 'f', 'u2', ""f'""]"
010100011000,"['l', 'u', ""l'"", ""b'"", ""u'"", 'b', 'u', 'l', 'u2', ""l'""]"
100011000010,"['b', 'u', ""b'"", ""r'"", ""u'"", 'r', 'u', 'b', 'u2', ""b'""]"
010000110001,"[""r'"", 'f', 'r', 'u', ""r'"", ""u'"", ""f'"", 'u', 'r']"
000110001010,"[""f'"", 'l', 'f', 'u', ""f'"", ""u'"", ""l'"", 'u', 'f']"
110001010000,"[""l'"", 'b', 'l', 'u', ""l'"", ""u'"", ""b'"", 'u', 'l']"
001010000110,"[""b'"", 'r', 'b', 'u', ""b'"", ""u'"", ""r'"", 'u', 'b']"
011011001000,"['l', 'f', ""r'"", 'f', 'r', 'f2', ""l'""]"
011001000011,"['b', 'l', ""f'"", 'l', 'f', 'l2', ""b'""]"
001000011011,"['r', 'b', ""l'"", 'b', 'l', 'b2', ""r'""]"
000011011001,"['f', 'r', ""b'"", 'r', 'b', 'r2', ""f'""]"
110000100110,"[""r'"", ""f'"", 'l', ""f'"", ""l'"", 'f2', 'r']"
000100110110,"[""f'"", ""l'"", 'b', ""l'"", ""b'"", 'l2', 'f']"
100110110000,"[""l'"", ""b'"", 'r', ""b'"", ""r'"", 'b2', 'l']"
110110000100,"[""b'"", ""r'"", 'f', ""r'"", ""f'"", 'r2', 'b']"
001011010001,"[""f'"", ""l'"", ""u'"", 'l', 'u', 'f', 'r', 'b', 'u', ""b'"", ""u'"", ""r'""]"
011010001001,"[""l'"", ""b'"", ""u'"", 'b', 'u', 'l', 'f', 'r', 'u', ""r'"", ""u'"", ""f'""]"
010001001011,"[""b'"", ""r'"", ""u'"", 'r', 'u', 'b', 'l', 'f', 'u', ""f'"", ""u'"", ""l'""]"
001001011010,"[""r'"", ""f'"", ""u'"", 'f', 'u', 'r', 'b', 'l', 'u', ""l'"", ""u'"", ""b'""]"
100100010110,"['f', 'r', 'u', ""r'"", ""u'"", ""f'"", 'u', 'f', 'r', 'u', ""r'"", ""u'"", ""f'""]"
100010110100,"['l', 'f', 'u', ""f'"", ""u'"", ""l'"", 'u', 'l', 'f', 'u', ""f'"", ""u'"", ""l'""]"
010110100100,"['b', 'l', 'u', ""l'"", ""u'"", ""b'"", 'u', 'b', 'l', 'u', ""l'"", ""u'"", ""b'""]"
110100100010,"['r', 'b', 'u', ""b'"", ""u'"", ""r'"", 'u', 'r', 'b', 'u', ""b'"", ""u'"", ""r'""]"
110010100100,"['r', 'u', ""r'"", ""u'"", ""r'"", 'f', 'r2', 'u', ""r'"", ""u'"", ""f'""]"
010100100110,"['f', 'u', ""f'"", ""u'"", ""f'"", 'l', 'f2', 'u', ""f'"", ""u'"", ""l'""]"
100100110010,"['l', 'u', ""l'"", ""u'"", ""l'"", 'b', 'l2', 'u', ""l'"", ""u'"", ""b'""]"
100110010100,"['b', 'u', ""b'"", ""u'"", ""b'"", 'r', 'b2', 'u', ""b'"", ""u'"", ""r'""]"
001010011001,"['r', 'u', ""r'"", 'u', ""r'"", 'f', 'r', ""f'"", 'r', 'u2', ""r'""]"
010011001001,"['f', 'u', ""f'"", 'u', ""f'"", 'l', 'f', ""l'"", 'f', 'u2', ""f'""]"
